Store,Dept,mu_demand,sigma_historical,mu_forecast,sigma_residual,n_oof_samples,sigma_reduction_pct,model
12,8,42309.291932773114,2223.0395095432527,43418.434,1972.3813599988719,79,11.275469845152742,XGBoost
12,13,47001.10739495799,2471.657314726247,47503.09,2072.0682511699742,79,16.166847288072784,XGBoost
12,38,51779.160252100846,7750.279236760663,53847.992,6157.026774538237,79,20.557355593917247,XGBoost
12,40,48102.46,4279.662928506233,49113.33,2266.4931795483253,79,47.040381043760874,XGBoost
12,72,60642.33218487395,41871.423440339306,60424.848,30062.461072613663,79,28.20291596857627,XGBoost
12,90,11195.182016806722,1400.4444488372085,12107.632,768.5453163528108,79,45.12132794764295,XGBoost
12,91,6822.690084033614,983.9705565075219,7098.0576,591.5412708307715,79,39.88221833279526,XGBoost
12,92,24945.074033613444,2810.0425937197424,26081.592,1903.4061675204734,79,32.26415244471884,XGBoost
12,95,43798.48411764706,5476.593242236533,44536.69,2663.19498351581,79,51.37132034972506,XGBoost
13,2,76393.49226890756,7793.9040922124395,77453.266,5220.5572710451515,79,33.01742991344403,XGBoost
13,8,36092.64705882353,3186.382889173214,36414.227,1727.7311383178471,79,45.77766707860555,XGBoost
13,13,47327.25521008403,2868.163537958449,47654.99,2364.7054861531406,79,17.553324458049158,XGBoost
13,38,83250.1487394958,9463.42084913036,85778.836,7083.480996408101,79,25.148832442984535,XGBoost
13,40,77300.15462184875,4221.274343522463,78621.766,3037.050841627751,79,28.053696716298493,XGBoost
13,72,77501.09630252102,33424.785913861604,77546.9,20194.072286392697,79,39.58354037499458,XGBoost
13,90,115699.91722689076,11313.710889222819,119307.2,5718.903321798593,79,49.45156918190043,XGBoost
13,91,80811.33588235294,5501.963375574999,83459.01,4906.610987040256,79,10.820726128016512,XGBoost
13,92,161579.56210084035,18898.539559196684,167144.67,9781.17372467752,79,48.243758762207314,XGBoost
13,95,137298.7468907563,14227.319335589726,140809.97,8692.918296991364,79,38.89981596711634,XGBoost
14,2,78770.02151260505,8715.208654954338,78267.55,5506.807931314145,79,36.81381422596591,XGBoost
14,8,53978.035798319324,4892.496045816974,54162.645,4629.161573584327,79,5.382415637469862,XGBoost
14,13,60494.68974789916,5910.5439678502225,60221.88,4353.196815630023,79,26.34862646638321,XGBoost
14,38,104255.16605042017,9107.14331625095,103680.016,8899.208383922276,79,2.283206984978814,XGBoost
14,40,72415.59764705882,5457.736987121684,72616.24,5192.699662178263,79,4.856176205793994,XGBoost
14,72,94384.65865546219,55837.34122963922,91673.6,28306.66441624277,79,49.30513560839604,XGBoost
14,90,108073.85411764706,11396.093376718653,108104.78,8179.541334760328,79,28.225041122684146,XGBoost
14,91,91754.87487394958,11260.722216769844,90594.7,8412.810179907907,79,25.29066947962477,XGBoost
14,92,183980.7523529412,22364.89012464337,179241.3,18503.15210332604,79,17.266966212644917,XGBoost
14,95,146270.61100840336,18520.17716795152,148564.9,17479.295653034536,79,5.6202567906217915,XGBoost
15,2,26483.15142857143,3608.459243919433,26773.588,1814.2538304560508,79,49.72220252970223,XGBoost
15,8,20359.919579831934,2034.9561739904102,20530.586,1485.4433639725369,79,27.00366804167169,XGBoost
15,13,18786.167731092435,1899.9494023224622,18283.613,1202.2620124438424,79,36.72136684407384,XGBoost
15,38,52837.84705882353,4935.002259280706,53168.793,4935.002259280706,79,0.0,XGBoost
15,40,30695.12907563025,1783.4714729487612,30358.8,1783.4714729487612,79,0.0,XGBoost
15,72,42301.00806722689,34175.70788765683,42878.39,11836.213878567973,79,65.36658752621527,XGBoost
15,90,5326.277899159663,604.1090938601504,5408.348,583.653835284707,79,3.3860206349051847,XGBoost
15,91,3413.0694957983196,286.9715810823368,3521.713,286.9715810823368,79,0.0,XGBoost
15,92,18191.386386554623,2333.322883761691,18374.744,1261.317732538654,79,45.94328366140192,XGBoost
15,95,27462.28663865546,3874.839024568301,27663.902,1926.2666161377647,79,50.287828631735955,XGBoost
16,2,23821.479411764703,3748.9669461534795,24261.271,2341.904943925451,79,37.53199274460673,XGBoost
16,8,14610.863193277311,1516.7780258517278,14436.013,994.3759210693981,79,34.44156599572183,XGBoost
16,13,15072.842857142858,2066.191720409404,14666.62,1342.3080785323637,79,35.03467924717106,XGBoost
16,38,52870.78260504202,6707.485797116365,53954.254,6707.485797116365,79,0.0,XGBoost
16,40,31847.191008403363,4679.950632396687,32014.94,2788.0869035481123,79,40.42486507768389,XGBoost
16,72,32482.772268907564,16141.804323820314,32211.424,10664.648254588117,79,33.9314983588892,XGBoost
16,90,6986.574117647058,1964.7356840303974,7693.6006,1022.9732576805911,79,47.93328863544149,XGBoost
16,91,3290.8101680672266,2545.7450541049807,4115.4414,1002.9512317292726,79,60.60284080245872,XGBoost
16,92,20698.306134453782,4186.634900055724,22239.582,2290.261193815439,79,45.29589399388622,XGBoost
16,95,27655.426386554624,5415.813248442593,28676.975,2769.249821574305,79,48.86733174614821,XGBoost
17,2,42201.78285714286,6274.414814153433,43217.69,6274.414814153433,79,0.0,XGBoost
17,8,20050.316134453784,1253.7479459807835,20190.805,1253.7479459807835,79,0.0,XGBoost
17,13,24419.293109243696,5168.050882245245,24017.748,4190.968967486481,79,18.906197655977273,XGBoost
17,38,77693.67470588237,9742.970261582148,80216.19,7757.025658154573,79,20.38335897686585,XGBoost
17,40,47150.785462184875,4375.392086379665,47755.043,3687.052275454741,79,15.732071488351519,XGBoost
17,72,52807.155042016806,21978.93918952255,53754.05,16849.58487737907,79,23.337588169808765,XGBoost
17,90,31025.993025210082,5668.042873995256,33092.5,4906.9243109905365,79,13.428242868392893,XGBoost
17,91,12058.544705882354,2166.2427710790503,13150.794,1654.7160214930987,79,23.613546755479742,XGBoost
17,92,52458.98924369748,11594.40994015337,55885.184,10766.711744610007,79,7.13876945714077,XGBoost
17,95,50866.82823529412,6796.5427107750365,51832.633,4366.13790054233,79,35.75942819250757,XGBoost
18,2,63481.727647058826,8259.339743162338,62631.957,6731.228660749154,79,18.501613082065816,XGBoost
18,8,31792.952016806725,3572.1706729359967,31062.154,3099.652387182045,79,13.227763425020921,XGBoost
18,13,41888.97924369748,4369.16368271854,42340.06,4369.16368271854,79,0.0,XGBoost
18,38,64773.02798319328,6703.670509536528,65799.25,6703.670509536528,79,0.0,XGBoost
18,40,61091.68126050421,5288.411441603455,60610.824,5288.411441603455,79,0.0,XGBoost
18,72,60926.0525210084,40660.55661092961,59713.11,27177.90039286205,79,33.15905472490115,XGBoost
18,90,18031.127478991595,6675.19457924017,20020.693,3625.1018318303622,79,45.69294139972466,XGBoost
18,91,13537.107731092437,9246.416690634713,16720.088,3521.937517483383,79,61.910244418785524,XGBoost
18,92,48971.63840336134,13154.175973772084,53151.645,13154.175973772084,79,0.0,XGBoost
18,95,57656.50109243697,9459.887186332451,58383.805,7550.829595116775,79,20.180553463405605,XGBoost
19,2,50689.779411764706,6329.289441033121,51675.043,4942.587032999753,79,21.909290465424156,XGBoost
19,8,42293.270924369746,3121.086424757966,42867.207,3085.2977078787767,79,1.1466749717436886,XGBoost
19,13,33580.28100840336,3429.6631899447075,33341.285,2464.6054198692063,79,28.138558121535528,XGBoost
19,38,78317.27092436975,7905.663547364983,78737.49,7339.045522542706,79,7.167241831473281,XGBoost
19,40,53933.79647058824,3147.15937007192,53925.19,3056.523421190546,79,2.8799287936696616,XGBoost
19,72,72266.03184873948,41649.18383139883,72945.81,20691.01475890253,79,50.3207197464844,XGBoost
19,90,67555.40210084034,6503.974503131233,69219.32,5104.6452320605285,79,21.514987034420574,XGBoost
19,91,54401.15294117647,4970.736439215488,56429.867,4970.736439215488,79,0.0,XGBoost
19,92,113456.13352941177,11566.671267717431,115066.38,7913.045553633756,79,31.587529631631718,XGBoost
19,95,97081.33319327731,9594.97413742718,96622.61,6333.579749387282,79,33.99065324541266,XGBoost
20,2,78544.54487394958,6975.914839952605,79319.93,4762.187096790151,79,31.73386995041777,XGBoost
20,8,76129.26722689076,5973.99305663263,77173.13,5033.425153122517,79,15.744375572479896,XGBoost
20,13,56302.68218487395,4113.48997658225,57641.203,4113.48997658225,79,0.0,XGBoost
20,38,110040.8442857143,10365.375474601018,110787.914,9759.709552268032,79,5.843164329329797,XGBoost
20,40,86343.65025210085,5578.30605877615,87817.85,5014.521747803093,79,10.106729624239163,XGBoost
20,72,92466.03504201681,55107.744603811785,97585.16,35535.49658186173,79,35.516329261270926,XGBoost
20,90,96017.12865546219,9911.375314812745,98410.3,6525.0471040734365,79,34.16607789716504,XGBoost
20,91,78130.96873949579,9733.881461184992,80470.65,7224.358120033746,79,25.78132219051843,XGBoost
20,92,164445.22596638656,20416.115104210337,168210.3,14204.304713243286,79,30.42601571973903,XGBoost
20,95,150454.85789915966,13448.73964556801,154156.11,13448.73964556801,79,0.0,XGBoost
21,2,48209.29268907563,4518.431352070172,48941.08,3663.776423942828,79,18.914859196339762,XGBoost
21,8,18435.25663865546,1590.0023284282488,18514.46,1283.8733253098396,79,19.253368227518518,XGBoost
21,13,28433.463697478994,1854.284074070721,28441.383,1854.284074070721,79,0.0,XGBoost
21,38,40934.0287394958,5263.7205088869605,43184.613,5263.7205088869605,79,0.0,XGBoost
21,40,39646.84210084034,2292.860852444532,40351.113,2292.860852444532,79,0.0,XGBoost
21,72,43225.72983193277,29164.151903042082,43029.844,20692.729135508496,79,29.047382539006527,XGBoost
21,90,10988.093865546218,993.4935534044089,11583.35,738.2219295493434,79,25.694341244623587,XGBoost
21,91,6787.7702521008405,644.2435999464566,7085.3696,644.2435999464566,79,0.0,XGBoost
21,92,21997.408487394958,3689.2720193387345,23742.393,1868.1718363347247,79,49.36204686068185,XGBoost
21,95,40953.23462184874,5116.924936091125,41857.066,2551.8665952178244,79,50.12890306014097,XGBoost
22,2,53492.36504201681,5577.053728398522,54469.57,5134.122916125875,79,7.942021609317306,XGBoost
22,8,37143.311596638654,2878.985613735608,37561.125,2878.985613735608,79,0.0,XGBoost
22,13,37148.56210084033,2766.061986647145,36987.21,2433.249071599609,79,12.032012176666795,XGBoost
22,38,70577.89075630253,9021.620868033955,73284.05,8306.872326112743,79,7.922617813100075,XGBoost
