Store,Dept,mu_demand,sigma_historical,mu_forecast,sigma_residual,n_oof_samples,sigma_reduction_pct,model
4,90,89231.1405882353,9247.602082066169,89231.1405882353,9247.602082066169,0,0.0,Historical Baseline
4,91,66056.95722689075,5553.671403460672,66056.95722689075,5553.671403460672,0,0.0,Historical Baseline
4,92,159117.44529411764,19939.072940163536,159117.44529411764,19939.072940163536,0,0.0,Historical Baseline
4,95,147772.53957983194,14841.812695205339,147772.53957983194,14841.812695205339,0,0.0,Historical Baseline
5,2,12372.755966386554,946.4012441351397,12372.755966386554,946.4012441351397,0,0.0,Historical Baseline
5,8,13654.19050420168,963.1631629959102,13654.19050420168,963.1631629959102,0,0.0,Historical Baseline
5,13,11243.43579831933,719.2468700997588,11243.43579831933,719.2468700997588,0,0.0,Historical Baseline
5,38,55247.93991596638,8226.947685780566,55247.93991596638,8226.947685780566,0,0.0,Historical Baseline
5,40,19178.145714285714,1635.4029035371009,19178.145714285714,1635.4029035371009,0,0.0,Historical Baseline
5,72,11867.228907563025,11299.232536840706,11867.228907563025,11299.232536840706,0,0.0,Historical Baseline
5,90,3119.0499159663864,420.3347442046465,3119.0499159663864,420.3347442046465,0,0.0,Historical Baseline
5,91,1533.8246218487395,246.66444802945932,1533.8246218487395,246.66444802945932,0,0.0,Historical Baseline
5,92,7808.060336134454,1041.0978550915172,7808.060336134454,1041.0978550915172,0,0.0,Historical Baseline
5,95,19496.96294117647,2043.2860711348783,19496.96294117647,2043.2860711348783,0,0.0,Historical Baseline
6,2,50391.806806722685,5624.417985926648,50391.806806722685,5624.417985926648,0,0.0,Historical Baseline
6,8,47703.40310924369,3695.138216270389,47703.40310924369,3695.138216270389,0,0.0,Historical Baseline
6,13,37671.083949579835,2785.372833451423,37671.083949579835,2785.372833451423,0,0.0,Historical Baseline
6,38,77184.35899159664,9285.79181424835,77184.35899159664,9285.79181424835,0,0.0,Historical Baseline
6,40,65638.9712605042,4314.715185178046,65638.9712605042,4314.715185178046,0,0.0,Historical Baseline
6,72,81294.72336134454,39185.93602534719,81294.72336134454,39185.93602534719,0,0.0,Historical Baseline
6,90,53832.47294117647,5809.9572551005485,53832.47294117647,5809.9572551005485,0,0.0,Historical Baseline
6,91,45307.94546218487,3092.4299978810327,45307.94546218487,3092.4299978810327,0,0.0,Historical Baseline
6,92,98912.983697479,13151.194297775279,98912.983697479,13151.194297775279,0,0.0,Historical Baseline
6,95,89168.65546218488,11315.3107400223,89168.65546218488,11315.3107400223,0,0.0,Historical Baseline
7,2,22673.74983193277,4138.425558386925,22673.74983193277,4138.425558386925,0,0.0,Historical Baseline
7,8,13801.217142857144,1287.3138683018515,13801.217142857144,1287.3138683018515,0,0.0,Historical Baseline
7,13,14968.357815126052,2115.73638609573,14968.357815126052,2115.73638609573,0,0.0,Historical Baseline
7,38,31266.14445378151,4397.583348931103,31266.14445378151,4397.583348931103,0,0.0,Historical Baseline
7,40,31436.623529411765,6426.632795344775,31436.623529411765,6426.632795344775,0,0.0,Historical Baseline
7,72,46399.48588235294,25441.58264692261,46399.48588235294,25441.58264692261,0,0.0,Historical Baseline
7,90,14331.27100840336,4758.496773842394,14331.27100840336,4758.496773842394,0,0.0,Historical Baseline
7,91,10823.499579831932,3453.152639840581,10823.499579831932,3453.152639840581,0,0.0,Historical Baseline
7,92,26932.233445378148,5788.211429011823,26932.233445378148,5788.211429011823,0,0.0,Historical Baseline
7,95,34726.21663865546,8290.230712267861,34726.21663865546,8290.230712267861,0,0.0,Historical Baseline
8,2,35768.36218487395,2790.4659787746164,35768.36218487395,2790.4659787746164,0,0.0,Historical Baseline
8,8,26220.213613445376,1778.8884192019295,26220.213613445376,1778.8884192019295,0,0.0,Historical Baseline
8,13,25131.97714285714,1411.8992057509793,25131.97714285714,1411.8992057509793,0,0.0,Historical Baseline
8,38,59029.41378151261,7767.415666947779,59029.41378151261,7767.415666947779,0,0.0,Historical Baseline
8,40,37691.67394957983,3388.9634797723775,37691.67394957983,3388.9634797723775,0,0.0,Historical Baseline
8,72,36828.007647058825,19666.309758290743,36828.007647058825,19666.309758290743,0,0.0,Historical Baseline
8,90,39267.127983193284,3676.3837266885284,39267.127983193284,3676.3837266885284,0,0.0,Historical Baseline
8,91,31352.773781512606,2849.861096530606,31352.773781512606,2849.861096530606,0,0.0,Historical Baseline
8,92,60115.44462184874,7938.939632143471,60115.44462184874,7938.939632143471,0,0.0,Historical Baseline
8,95,62931.179159663865,4689.125702187949,62931.179159663865,4689.125702187949,0,0.0,Historical Baseline
9,2,25068.466890756303,2285.2291543058427,25068.466890756303,2285.2291543058427,0,0.0,Historical Baseline
9,8,21267.620588235295,1673.3965983314504,21267.620588235295,1673.3965983314504,0,0.0,Historical Baseline
